cable_key,length_km,importance_tier,risk_tier,material,reliability_tier,baseline_cost,optimized_cost
id-apricot,11972.0,10,10,"CFRP, epoxy matrix (isotropic)",10,4788.8,1197.1999999999998
id-aqualink,734.5,5,10,Nickel‑based superalloys,8,146.9,73.44999999999999
id-arcos,8600.0,7,10,Titanium alloys,9,2407.9999999999995,601.9999999999998
id-arctic-way,734.5,5,1,Cast magnesium alloys,4,14.690000000000003,22.035
id-arimao,2470.0,2,9,Stainless steel (duplex grades),6,177.84000000000003,177.84000000000003
id-arsat-submarine-fiber-optic-cable,40.0,1,4,Zirconia,3,0.6400000000000001,1.1199999999999999
id-asia-africa-europe-1-aae-1,25000.0,8,10,"CFRP, epoxy matrix (isotropic)",10,8000.000000000002,1999.9999999999998
id-asia-america-gateway-aag-cable-system,20000.0,8,10,"CFRP, epoxy matrix (isotropic)",10,6400.000000000001,1599.9999999999998
id-asia-connect-cable-1-acc-1,19000.0,9,10,"CFRP, epoxy matrix (isotropic)",10,6840.000000000001,1709.9999999999998
id-asia-direct-cable-adc,9988.0,10,10,"CFRP, epoxy matrix (isotropic)",10,3995.2000000000003,998.7999999999997
id-asia-link-cable-alc,7200.0,5,10,Nickel‑based superalloys,8,1440.0,719.9999999999999
id-asia-pacific-gateway-apg,10400.0,10,10,"CFRP, epoxy matrix (isotropic)",10,4160.0,1039.9999999999998
id-asia-submarine-cable-express-asecahaya-malaysia,8148.0,9,10,"CFRP, epoxy matrix (isotropic)",10,2933.28,733.3199999999998
id-atisa,279.0,9,1,Stainless steel (duplex grades),6,10.044000000000002,10.044000000000002
id-atlantic-crossing-1-ac-1,14301.0,8,6,Nickel‑based superalloys,8,2745.792,1372.8959999999997
id-atlas-offshore,1634.0,9,5,Nickel‑based superalloys,8,294.12000000000006,147.05999999999997
id-au-aleutian,1491.0,5,1,Cast magnesium alloys,4,29.820000000000007,44.73
id-aurora,734.5,3,1,Zirconia,3,8.814000000000002,15.424499999999998
id-australia-connect-interlink,734.5,7,4,Stainless steel (duplex grades),6,82.26400000000001,82.26400000000001
id-australia-japan-cable-ajc,12700.0,10,7,Titanium alloys,9,3555.9999999999995,888.9999999999998
id-australia-singapore-cable-asc,4600.0,6,7,"GFRP, epoxy matrix (isotropic)",7,772.8,579.6
id-avassa,260.0,6,6,"GFRP, epoxy matrix (isotropic)",7,37.44,28.080000000000002
id-awashima-murakami,66.0,1,8,Commercially pure titanium,5,2.1120000000000005,2.6400000000000006
id-azores-fiber-optic-system-afos,1100.0,5,1,Cast magnesium alloys,4,22.000000000000004,33.0
id-bahamas-2,470.0,7,1,Commercially pure titanium,5,13.160000000000002,16.45
id-bahamas-domestic-submarine-network-bdsni,2817.0,5,8,"GFRP, epoxy matrix (isotropic)",7,450.7200000000001,338.0400000000001
id-bahamas-internet-cable-system-bics,1100.0,6,5,Stainless steel (duplex grades),6,132.0,132.0
id-balalink,274.0,5,8,"GFRP, epoxy matrix (isotropic)",7,43.84000000000001,32.88000000000001
id-balok,60.0,3,10,"GFRP, epoxy matrix (isotropic)",7,7.199999999999999,5.4
id-baltic-sea-submarine-cable,1042.0,4,1,Zirconia,3,16.672000000000004,29.176
id-baltica,437.0,3,4,Cast magnesium alloys,4,20.976000000000003,31.464
id-bangladesh-private-cable-system-bpcs,1300.0,1,4,Zirconia,3,20.800000000000004,36.4
id-barat-timur-indonesia-1-bti-1,4500.0,8,9,Titanium alloys,9,1296.0000000000002,324.0
id-barat-timur-indonesia-2-bti-2,11600.0,9,10,"CFRP, epoxy matrix (isotropic)",10,4176.000000000001,1043.9999999999998
id-bass-strait-1,241.0,1,1,Silica glass,2,0.9640000000000002,1.9280000000000004
id-bass-strait-2,239.0,1,1,Silica glass,2,0.9560000000000002,1.9120000000000004
id-basslink,298.0,1,1,Silica glass,2,1.1920000000000004,2.384000000000001
id-batam-dumai-melaka-bdm,353.0,10,6,Titanium alloys,9,84.72,21.179999999999993
id-batam-rengit-cable-system-brcs,64.0,4,7,Stainless steel (duplex grades),6,7.167999999999999,7.167999999999999
id-batam-sarawak-internet-cable-system-basics,762.0,10,6,Titanium alloys,9,182.88,45.719999999999985
id-batam-singapore-cable-system-bscs,73.0,10,8,"CFRP, epoxy matrix (isotropic)",10,23.360000000000003,5.839999999999999
id-bay-of-bengal-gateway-bbg,8100.0,9,9,"CFRP, epoxy matrix (isotropic)",10,2624.4000000000005,656.0999999999999
id-bcs-east,97.0,2,1,Silica glass,2,0.7760000000000001,1.5520000000000003
id-bcs-east-west-interlink,218.0,2,1,Silica glass,2,1.7440000000000004,3.488000000000001
id-bcs-north---phase-1,513.0,3,1,Zirconia,3,6.156000000000001,10.773
id-bcs-north---phase-2,280.0,3,1,Zirconia,3,3.3600000000000008,5.879999999999999
id-beaufort,734.5,10,4,Nickel‑based superalloys,8,117.52000000000002,58.75999999999999
id-berytar,134.0,6,7,"GFRP, epoxy matrix (isotropic)",7,22.511999999999997,16.884
id-besut-perhentian-islands,21.0,1,5,Cast magnesium alloys,4,0.4200000000000001,0.63
id-bharat-lanka-cable-system,325.0,4,9,"GFRP, epoxy matrix (isotropic)",7,46.800000000000004,35.100000000000016
id-bicentenario,250.0,4,1,Zirconia,3,4.000000000000001,6.999999999999999
id-bifrost,19888.0,10,10,"CFRP, epoxy matrix (isotropic)",10,7955.200000000001,1988.7999999999995
id-biznet-nusantara-cable-system-1-bncs-1,105.0,6,4,Stainless steel (duplex grades),6,10.080000000000002,10.080000000000002
id-blue,5055.0,8,9,Titanium alloys,9,1455.8400000000001,363.96
id-bodo-rost-cable,109.0,6,1,Cast magnesium alloys,4,2.6160000000000005,3.9239999999999995
id-boracay-palawan-submarine-cable-system-bpscs,332.0,5,5,Stainless steel (duplex grades),6,33.2,33.2
id-bosun,734.5,6,1,Cast magnesium alloys,4,17.628000000000004,26.441999999999997
id-botnia,93.0,1,1,Silica glass,2,0.3720000000000001,0.7440000000000002
id-brazilian-festoon,2552.0,5,10,Nickel‑based superalloys,8,510.40000000000003,255.19999999999993
id-bridge-one,330.0,1,8,Commercially pure titanium,5,10.560000000000002,13.200000000000003
id-brusa,11000.0,9,10,"CFRP, epoxy matrix (isotropic)",10,3960.0000000000005,989.9999999999998
id-bt-highlands-and-islands-submarine-cable-system,402.0,1,1,Silica glass,2,1.6080000000000003,3.2160000000000006
id-bt-mt-1,80.0,3,6,Commercially pure titanium,5,5.76,7.199999999999999
id-bugio,73.0,10,6,Titanium alloys,9,17.52,4.379999999999999
id-bulikula,21600.0,10,8,"CFRP, epoxy matrix (isotropic)",10,6912.000000000001,1727.9999999999998
id-c-lion1,1172.0,4,3,Cast magnesium alloys,4,56.256,84.384
id-cabo-verde-telecom-domestic-submarine-cable-phase-1,734.5,8,4,"GFRP, epoxy matrix (isotropic)",7,94.01600000000002,70.51200000000003
id-cabo-verde-telecom-domestic-submarine-cable-phase-2,734.5,3,4,Cast magnesium alloys,4,35.25600000000001,52.88399999999999
id-cabo-verde-telecom-domestic-submarine-cable-phase-3,734.5,7,5,"GFRP, epoxy matrix (isotropic)",7,102.82999999999998,77.1225
id-cadmos,230.0,5,7,"GFRP, epoxy matrix (isotropic)",7,32.199999999999996,24.150000000000002
id-cadmos-2,250.0,6,6,"GFRP, epoxy matrix (isotropic)",7,36.0,27.000000000000004
id-calvi-st-florent,64.0,1,1,Silica glass,2,0.25600000000000006,0.5120000000000001
id-cam-ring,1120.0,7,6,"GFRP, epoxy matrix (isotropic)",7,188.15999999999997,141.12
id-cambodia-hong-kong,2715.0,5,8,"GFRP, epoxy matrix (isotropic)",7,434.4000000000001,325.80000000000007
id-canalink,1835.0,6,5,Stainless steel (duplex grades),6,220.2,220.2
id-candalta,110.0,7,1,Commercially pure titanium,5,3.0800000000000005,3.8499999999999996
id-cantat-3,270.0,7,1,Commercially pure titanium,5,7.560000000000001,9.45
id-caribbean-bermuda-u-s-cbus,1600.0,6,1,Cast magnesium alloys,4,38.400000000000006,57.599999999999994
id-caribbean-regional-communications-infrastructure-program-carcip,225.0,5,7,"GFRP, epoxy matrix (isotropic)",7,31.499999999999996,23.625000000000004
id-carnival-submarine-network-1-csn-1,4670.0,6,8,Nickel‑based superalloys,8,896.6400000000001,448.31999999999994
id-carnival-submarine-network-2-csn-2,1700.0,4,7,Stainless steel (duplex grades),6,190.39999999999998,190.39999999999998
id-cat-submarine-network-csn,1240.0,9,8,Titanium alloys,9,357.1200000000001,89.27999999999999
id-caucasus-cable-system,1200.0,3,5,Commercially pure titanium,5,72.0,90.0
id-cayman-jamaica-fiber-system-cjfs,870.0,6,7,"GFRP, epoxy matrix (isotropic)",7,146.16,109.62
id-ceiba-1,287.0,6,4,Stainless steel (duplex grades),6,27.552000000000003,27.552000000000003
id-ceiba-2,290.0,7,4,Stainless steel (duplex grades),6,32.480000000000004,32.480000000000004
id-celia,3700.0,9,10,"CFRP, epoxy matrix (isotropic)",10,1332.0000000000002,332.99999999999994
id-celtixconnect-1-cc-1,131.0,7,5,"GFRP, epoxy matrix (isotropic)",7,18.34,13.755
id-channel-islands-9-liberty-submarine-cable,734.5,2,3,Zirconia,3,17.628,30.849
id-chennai-andaman-nicobar-islands-cable-cani,2300.0,5,5,Stainless steel (duplex grades),6,230.0,230.0
id-chi,3932.0,8,5,"GFRP, epoxy matrix (isotropic)",7,629.1200000000001,471.8400000000001
id-chuuk-pohnpei-cable,1200.0,6,5,Stainless steel (duplex grades),6,144.0,144.0
id-circe-north,203.0,6,4,Stainless steel (duplex grades),6,19.488000000000003,19.488000000000003
id-circe-south,115.0,1,6,Cast magnesium alloys,4,2.7600000000000002,4.14
id-cobracable,304.0,4,1,Zirconia,3,4.864000000000001,8.511999999999999
id-cogim,438.0,1,1,Silica glass,2,1.7520000000000004,3.504000000000001
id-colombia-florida-subsea-fiber-cfx-1,2400.0,8,7,Nickel‑based superalloys,8,537.5999999999999,268.79999999999995
id-colombian-festoon,400.0,7,6,"GFRP, epoxy matrix (isotropic)",7,67.19999999999999,50.4
id-columbus-ii-b,2068.0,6,4,Stainless steel (duplex grades),6,198.52800000000002,198.52800000000002
id-columbus-iii-azores-portugal,734.5,10,5,Nickel‑based superalloys,8,146.9,73.44999999999999
id-comoros-domestic-cable-system,734.5,4,7,Stainless steel (duplex grades),6,82.264,82.264
id-concerto,550.0,4,4,Commercially pure titanium,5,35.20000000000001,44.00000000000001
id-confluence-1,2571.0,10,8,"CFRP, epoxy matrix (isotropic)",10,822.7200000000001,205.67999999999998
id-connected-coast,734.5,5,6,Stainless steel (duplex grades),6,88.14,88.14
id-continente-madeira,1179.0,9,6,Nickel‑based superalloys,8,254.664,127.33199999999997
id-converge-domestic-submarine-cable-network-cdscn,1300.0,4,10,Nickel‑based superalloys,8,208.00000000000003,103.99999999999999
id-cook-strait,40.0,1,8,Commercially pure titanium,5,1.2800000000000002,1.6000000000000003
id-coral-bridge,734.5,8,1,Commercially pure titanium,5,23.504000000000005,29.380000000000006
id-coral-sea-cable-system-cs,4700.0,7,7,Nickel‑based superalloys,8,921.1999999999999,460.5999999999998
id-corse-continent-4-cc4,190.0,1,7,Commercially pure titanium,5,5.319999999999999,6.6499999999999995
id-corse-continent-5-cc5,299.0,4,5,Commercially pure titanium,5,23.920000000000005,29.900000000000002
id-cross-sound-cable,40.0,1,4,Zirconia,3,0.6400000000000001,1.1199999999999999
id-cross-straits-cable-network-cscn,21.0,1,5,Cast magnesium alloys,4,0.4200000000000001,0.63
id-crosschannel-fibre,149.0,1,5,Cast magnesium alloys,4,2.9800000000000004,4.47
id-crosslake-fibre,59.0,1,10,Stainless steel (duplex grades),6,2.3600000000000003,2.3600000000000003
id-curie,10476.0,10,9,"CFRP, epoxy matrix (isotropic)",10,3771.3600000000006,942.8399999999998
id-cyclades-a,222.0,3,4,Cast magnesium alloys,4,10.656000000000002,15.983999999999998
id-cyclades-b,52.0,3,1,Zirconia,3,0.6240000000000001,1.0919999999999999
id-daito-loop,18.0,8,1,Commercially pure titanium,5,0.5760000000000002,0.7200000000000002
id-dalian-yantai-cable,146.0,1,1,Silica glass,2,0.5840000000000002,1.1680000000000004
id-damai-cable-system,575.0,8,5,"GFRP, epoxy matrix (isotropic)",7,92.00000000000001,69.00000000000001
id-danica-north,25.0,1,1,Silica glass,2,0.10000000000000002,0.20000000000000004
id-danice,2304.0,9,6,Nickel‑based superalloys,8,497.664,248.83199999999994
id-darwin-jakarta-singapore-cable-djsc,1000.0,1,1,Silica glass,2,4.000000000000001,8.000000000000002
id-deep-blue-one,2250.0,8,7,Nickel‑based superalloys,8,503.99999999999994,251.99999999999994
id-denmark-sweden-17,11.0,1,1,Silica glass,2,0.04400000000000001,0.08800000000000002
id-denmark-sweden-18,734.5,1,1,Silica glass,2,2.9380000000000006,5.876000000000001
id-denpasar-waingapu-cable-systems,814.0,4,9,"GFRP, epoxy matrix (isotropic)",7,117.21600000000001,87.91200000000003
id-dhiraagu-cable-network,1253.0,6,1,Cast magnesium alloys,4,30.072000000000006,45.108
id-dhiraagu-slt-submarine-cable-network,850.0,4,8,"GFRP, epoxy matrix (isotropic)",7,108.80000000000003,81.60000000000002
id-didon,170.0,10,3,"GFRP, epoxy matrix (isotropic)",7,20.4,15.300000000000002
id-djibouti-africa-regional-express-1-dare-1,4854.0,7,7,Nickel‑based superalloys,8,951.3839999999999,475.69199999999984
id-domestic-submarine-cable-of-maldives-dscom,286.0,6,1,Cast magnesium alloys,4,6.864000000000001,10.296
id-dos-continentes-l-ll,95.0,1,7,Commercially pure titanium,5,2.6599999999999997,3.3249999999999997
id-dumai-melaka-cable-system-dmcs,159.0,8,1,Commercially pure titanium,5,5.088000000000001,6.360000000000001
id-dunant,6400.0,7,1,Commercially pure titanium,5,179.20000000000002,223.99999999999997
id-e-finest,734.5,3,1,Zirconia,3,8.814000000000002,15.424499999999998
id-e-llan,734.5,6,6,"GFRP, epoxy matrix (isotropic)",7,105.76799999999999,79.32600000000001
id-e2a,12500.0,10,9,"CFRP, epoxy matrix (isotropic)",10,4500.000000000001,1124.9999999999998
id-eac-c2c,36500.0,10,10,"CFRP, epoxy matrix (isotropic)",10,14600.0,3649.999999999999
id-eagle,2750.0,8,9,Titanium alloys,9,792.0000000000001,197.99999999999997
id-east-micronesia-cable-system-emcs,2250.0,5,1,Cast magnesium alloys,4,45.00000000000001,67.5
id-east-west,1750.0,1,9,Stainless steel (duplex grades),6,63.00000000000001,63.00000000000001
id-east-west-submarine-cable-system,950.0,5,6,Stainless steel (duplex grades),6,114.0,114.0
id-eastern-africa-submarine-system-eassy,10500.0,6,9,Nickel‑based superalloys,8,2268.0000000000005,1133.9999999999998
id-eastern-caribbean-fiber-system-ecfs,1730.0,6,10,Titanium alloys,9,415.2,103.79999999999997
id-eastern-light-sweden-finland-i,734.5,4,1,Zirconia,3,11.752000000000002,20.566
id-eastern-light-sweden-finland-ii,734.5,3,1,Zirconia,3,8.814000000000002,15.424499999999998
id-eaufon-1,1175.0,3,1,Zirconia,3,14.100000000000003,24.674999999999997
id-eaufon-2,675.0,3,1,Zirconia,3,8.100000000000001,14.174999999999999
id-eaufon-3,900.0,3,1,Zirconia,3,10.800000000000002,18.9
id-echo,17184.0,9,9,"CFRP, epoxy matrix (isotropic)",10,5567.616000000001,1391.9039999999998
id-eclink,987.0,8,5,"GFRP, epoxy matrix (isotropic)",7,157.92000000000004,118.44000000000003
id-elektra-globalconnect-1-gc1,44.0,4,4,Commercially pure titanium,5,2.8160000000000007,3.5200000000000005
id-ellalink,6200.0,10,6,Titanium alloys,9,1488.0,371.9999999999999
id-emc-west-1,3639.0,6,8,Nickel‑based superalloys,8,698.6880000000001,349.34399999999994
id-emc-west-2,3978.0,7,8,Nickel‑based superalloys,8,891.0720000000001,445.5359999999999
id-emerald-bridge-fibres,120.0,4,5,Commercially pure titanium,5,9.600000000000001,12.0
id-energinet-laeso-varberg,734.5,3,1,Zirconia,3,8.814000000000002,15.424499999999998
id-energinet-lyngsa-laeso,734.5,3,1,Zirconia,3,8.814000000000002,15.424499999999998
id-energy-bridge-cable,13.0,2,4,Cast magnesium alloys,4,0.4160000000000001,0.624
id-epic-malta-sicily-cable-system-emscs,260.0,5,5,Stainless steel (duplex grades),6,26.0,26.0
id-equiano,15000.0,6,7,"GFRP, epoxy matrix (isotropic)",7,2519.9999999999995,1890.0
id-esat-2,245.0,5,7,"GFRP, epoxy matrix (isotropic)",7,34.3,25.725
id-est-tet,113.0,9,6,Nickel‑based superalloys,8,24.408,12.203999999999997
id-europe-india-gateway-eig,15000.0,9,9,"CFRP, epoxy matrix (isotropic)",10,4860.000000000001,1214.9999999999998
id-eviny-digital,210.0,9,1,Stainless steel (duplex grades),6,7.560000000000002,7.560000000000002
id-exa-express,4600.0,4,4,Commercially pure titanium,5,294.4000000000001,368.00000000000006
id-exa-north-and-south,12200.0,7,7,Nickel‑based superalloys,8,2391.2,1195.5999999999995
id-exelera-north,345.0,8,5,"GFRP, epoxy matrix (isotropic)",7,55.20000000000001,41.400000000000006
id-falcon,10300.0,6,10,Titanium alloys,9,2472.0,617.9999999999999
id-far-east-submarine-cable-system,1855.0,1,1,Silica glass,2,7.420000000000002,14.840000000000003
id-farice-1,1205.0,1,1,Silica glass,2,4.820000000000001,9.640000000000002
id-farland-north,150.0,1,4,Zirconia,3,2.4000000000000004,4.199999999999999
id-faster,11629.0,10,8,"CFRP, epoxy matrix (isotropic)",10,3721.2800000000007,930.3199999999998
id-fehmarn-blt,20.0,1,5,Cast magnesium alloys,4,0.4000000000000001,0.6
id-fiber-optic-gulf-fog,1300.0,6,7,"GFRP, epoxy matrix (isotropic)",7,218.39999999999998,163.8
id-fibra-optica-al-pacfico,1180.0,5,5,Stainless steel (duplex grades),6,118.0,118.0
id-fibra-optica-austral,2800.0,5,1,Cast magnesium alloys,4,56.000000000000014,84.0
id-fibralink,1000.0,7,9,Titanium alloys,9,252.0,62.999999999999986
id-fibre-in-gulf-fig,1931.0,6,3,Commercially pure titanium,5,139.03199999999998,173.79
id-finland-estonia-2-eesf-2,98.0,3,1,Zirconia,3,1.1760000000000002,2.058
id-finland-estonia-3-eesf-3,104.0,3,1,Zirconia,3,1.2480000000000002,2.1839999999999997
id-finland-estonia-connection-1-fec-1,734.5,3,1,Zirconia,3,8.814000000000002,15.424499999999998
id-finland-estonia-connection-2-fec-2,734.5,3,1,Zirconia,3,8.814000000000002,15.424499999999998
id-firmina,14517.0,7,7,Nickel‑based superalloys,8,2845.332,1422.6659999999995
id-fish-north,90.0,9,4,"GFRP, epoxy matrix (isotropic)",7,12.960000000000004,9.720000000000002
id-fish-south,734.5,7,4,Stainless steel (duplex grades),6,82.26400000000001,82.26400000000001
id-fish-west,276.0,9,4,"GFRP, epoxy matrix (isotropic)",7,39.744000000000014,29.808000000000007
id-flag-atlantic-1-fa-1,14500.0,1,10,Stainless steel (duplex grades),6,580.0000000000001,580.0000000000001
id-flag-europe-asia-fea,28000.0,10,10,"CFRP, epoxy matrix (isotropic)",10,11200.0,2799.9999999999995
id-flag-north-asia-loopreach-north-asia-loop,9504.0,9,10,"CFRP, epoxy matrix (isotropic)",10,3421.4400000000005,855.3599999999998
id-flores-corvo-cable-system,685.0,4,1,Zirconia,3,10.960000000000003,19.18
id-fly-lion3,400.0,7,4,Stainless steel (duplex grades),6,44.800000000000004,44.800000000000004
id-fos-quellon-chacabuco,350.0,1,5,Cast magnesium alloys,4,7.000000000000002,10.5
id-galapagos-cable-system,1250.0,5,3,Commercially pure titanium,5,75.0,93.75
id-gc-lnz-fu-ring,553.0,5,1,Cast magnesium alloys,4,11.060000000000002,16.59
id-gemini-bermuda,1287.0,5,8,"GFRP, epoxy matrix (isotropic)",7,205.92000000000004,154.44000000000003
id-geo-eirgrid,187.0,1,5,Cast magnesium alloys,4,3.7400000000000007,5.609999999999999
id-georgia-russia,433.0,3,6,Commercially pure titanium,5,31.176,38.97
id-germany-denmark-3,734.5,3,4,Cast magnesium alloys,4,35.25600000000001,52.88399999999999
id-glo-1,9800.0,10,6,Titanium alloys,9,2352.0,587.9999999999999
id-global-caribbean-network-gcn,890.0,9,9,"CFRP, epoxy matrix (isotropic)",10,288.36000000000007,72.08999999999999
id-globalconnect-2-gc2,95.0,1,1,Silica glass,2,0.3800000000000001,0.7600000000000002
id-globalconnect-3-gc3,19.0,1,4,Zirconia,3,0.30400000000000005,0.5319999999999999
id-globalconnect-6-gc6,734.5,1,7,Commercially pure titanium,5,20.566,25.707499999999996
id-globalconnect-denmark-sweden,734.5,1,1,Silica glass,2,2.9380000000000006,5.876000000000001
id-globalconnect-kpn,43.0,4,4,Commercially pure titanium,5,2.7520000000000007,3.440000000000001
id-globenet,23500.0,8,9,Titanium alloys,9,6768.000000000001,1691.9999999999998
id-go-1-mediterranean-cable-system,290.0,10,1,Stainless steel (duplex grades),6,11.600000000000001,11.600000000000001
id-gondwana-1,2151.0,8,6,Nickel‑based superalloys,8,412.992,206.49599999999995
id-gondwana-2picot-2,1515.0,7,7,Nickel‑based superalloys,8,296.94,148.46999999999994
id-grace-hopper,7191.0,10,6,Titanium alloys,9,1725.84,431.45999999999987
id-greenland-connect,4580.0,6,6,"GFRP, epoxy matrix (isotropic)",7,659.52,494.64000000000004
id-greenland-connect-north,680.0,5,1,Cast magnesium alloys,4,13.600000000000003,20.4
id-groix-4,7.0,1,1,Silica glass,2,0.028000000000000008,0.056000000000000015
id-groote-eylandt,95.0,1,1,Silica glass,2,0.3800000000000001,0.7600000000000002
id-gtmo-1,1528.0,2,7,Commercially pure titanium,5,85.568,106.96
id-gtmo-pr,1400.0,2,9,Stainless steel (duplex grades),6,100.80000000000001,100.80000000000001
id-guadeloupe-cable-des-iles-du-sud-gcis,118.0,1,7,Commercially pure titanium,5,3.304,4.13
id-guam-okinawa-kyushu-incheon-goki,4244.0,8,9,Titanium alloys,9,1222.2720000000002,305.568
id-guernsey-jersey-4,36.0,7,1,Commercially pure titanium,5,1.0080000000000002,1.2599999999999998
id-gulf-bridge-international-cable-systemmiddle-east-north-africa-cable-system-gbicsmena,5270.0,7,8,Nickel‑based superalloys,8,1180.4800000000002,590.2399999999999
id-gulf-of-california-cable,250.0,1,4,Zirconia,3,4.000000000000001,6.999999999999999
id-gulf-of-mexico-fiber-optic-network,1200.0,1,6,Cast magnesium alloys,4,28.8,43.199999999999996
id-gulf2africa-g2a,1500.0,6,1,Cast magnesium alloys,4,36.00000000000001,53.99999999999999
id-hachijojima-mainland,734.5,9,7,Titanium alloys,9,185.094,46.27349999999999
id-haikou-beihai-cable,198.0,1,3,Zirconia,3,2.376,4.158
id-hainan-to-hong-kong-express-h2he,675.0,6,9,Nickel‑based superalloys,8,145.8,72.89999999999998
id-halaihai,17483.0,10,7,Titanium alloys,9,4895.24,1223.8099999999997
id-hannibal-system,178.0,10,3,"GFRP, epoxy matrix (isotropic)",7,21.36,16.020000000000003
id-hantru1-cable-system,2917.0,9,4,"GFRP, epoxy matrix (isotropic)",7,420.0480000000001,315.03600000000006
id-havfrueaec-2,7650.0,10,8,"CFRP, epoxy matrix (isotropic)",10,2448.0000000000005,611.9999999999999
id-havhingstenceltixconnect-2-cc-2,301.0,5,7,"GFRP, epoxy matrix (isotropic)",7,42.13999999999999,31.605000000000004
id-havhingstennorth-sea-connect-nsc,661.0,4,4,Commercially pure titanium,5,42.30400000000001,52.88000000000001
id-havsil,120.0,10,1,Stainless steel (duplex grades),6,4.800000000000001,4.800000000000001
id-hawaii-inter-island-cable-system-hics,479.0,5,6,Stainless steel (duplex grades),6,57.48,57.48
id-hawaii-island-fibre-network-hifn,529.0,6,6,"GFRP, epoxy matrix (isotropic)",7,76.17599999999999,57.132000000000005
id-hawaiian-islands-fiber-link-hifl,675.0,4,4,Commercially pure titanium,5,43.20000000000001,54.00000000000001
id-hawaiki,14000.0,8,5,"GFRP, epoxy matrix (isotropic)",7,2240.0000000000005,1680.0000000000002
id-hawaiki-nui-1,10000.0,9,10,"CFRP, epoxy matrix (isotropic)",10,3600.0000000000005,899.9999999999998
id-hawk,3400.0,9,6,Nickel‑based superalloys,8,734.4,367.1999999999999
id-high-capacity-undersea-guernsey-optical-fibre-hugo,425.0,10,3,"GFRP, epoxy matrix (isotropic)",7,51.0,38.25000000000001
id-hokkaido-akita-cable,770.0,4,7,Stainless steel (duplex grades),6,86.24,86.24
id-hokkaido-rebun-rishiri,64.0,1,1,Silica glass,2,0.25600000000000006,0.5120000000000001
id-hokkaido-sakhalin-cable-system-hscs,570.0,4,5,Commercially pure titanium,5,45.60000000000001,57.0
